2 3 18.1 1
10 10
4		
11		
291.298004	0	0.25
292.181	0	0.5
293.22699	0	1
293.862	0	1.5
294.295013	0	2
294.80899	0	3
294.992004	0	4
295	0	5
295	0	16.1
295	0	24
295	0	31
15		
291.298004	0	0.25
291.3125	0.945	0.5
291.3125	2.031	1
291.3125	3.4	2
291.3125	4.5	3.158
291.3125	5.144	4
291.3125	6.336	6
291.3125	7	7.532
291.3125	8.07	12
291.3125	8.247	14.5
291.3125	8.258	16.5
291.3125	8.258	18.5
291.3125	9	23.507
291.3125	9.813	25
291.3125	11	27.188
15		
287.200012	0	0
287.625	1.5	0.04
287.625	4.082	0.5
287.625	4.5	0.64
287.625	5.335	1
287.625	6.928	2
287.625	8.89	4
287.625	10.124	6
287.625	10.917	8
287.625	11.666	12
287.625	11.759	14.5
287.625	11.76	16.5
287.625	11.76	18.5
287.625	13.256	25
287.625	14	26.43
16
280.25	0	0
280.25	1.5	0
280.25	4.5	0.001
280.25	7	0.105
280.25	9	0.437
280.25	11	1.13
280.25	12.513	2
280.25	14	3.299
280.25	15.739	6
280.25	16.374001	8
280.25	16.781	12
280.25	16.798	14.5
280.25	16.798	16.5
280.25	16.798	18.5
280.25	17.5	23.916
280.25	17.915001	25
50 20
10
16
280.25	0	0
280.25	1.5	0
280.25	4.5	0.001
280.25	7	0.105
280.25	9	0.437
280.25	11	1.13
280.25	12.513	2
280.25	14	3.299
280.25	15.739	6
280.25	16.374001	8
280.25	16.781	12
280.25	16.798	14.5
280.25	16.798	16.5
280.25	16.798	18.5
280.25	17.5	23.916
280.25	17.915001	25
17		
272.875	0	0
272.875	1.5	0
272.875	4.5	0
272.875	7	0
272.875	9	0.007
272.875	11	0.113
272.875	13.274	0.5
272.875	14.798	1
272.875	16.611	2
272.875	17.5	2.74
272.875	18.556999	4
272.875	20	7.866
272.875	20.233999	12
272.875	20.235001	14.5
272.875	20.235001	16.5
272.875	20.235001	18.5
272.875	20.896999	25
18		
265.5	0	0
265.5	1.5	0
265.5	4.5	0
265.5	7	0
265.5	11	0
265.5	14	0.091
265.5	16.43	0.5
265.5	17.896	1
265.5	19.582001	2
265.5	20	2.358
265.5	21.292	4
265.5	22.054001	6
265.5	22.372	8
265.5	22.474001	12
265.5	22.474001	14.5
265.5	22.474001	16.5
265.5	22.474001	18.5
265.5	22.746	25
22		
250.75	0	0
250.75	1.5	0
250.75	4.5	0
250.75	7	0
250.75	9	0
250.75	11	0
250.75	14	0
250.75	16.448999	0
250.75	17.5	0.009
250.75	20	0.286
250.75	20.754	0.5
250.75	21.879	1
250.75	23	1.878
250.75	24.135	4
250.75	24.457001	6
250.75	24.5	6.889
250.75	24.517	8
250.75	24.52	12
250.75	24.52	14.5
250.75	24.52	16.5
250.75	24.52	18.5
250.75	24.539	25
19		
236	0	0
236	1.5	0
236	4.5	0
236	7	0
236	9	0
236	11	0
236	14	0
236	17.5	0
236	20.223	0
236	23	0.436
236	24.5	1.876
236	24.943001	4
236	24.972	6
236	24.972	8
236	24.972	12
236	24.972	14.5
236	24.972	16.5
236	24.972	18.5
236	24.972	25
20		
221.25	0	0
221.25	1.5	0
221.25	4.5	0
221.25	7	0
221.25	9	0
221.25	11	0
221.25	14	0
221.25	17.5	0
221.25	20	0
221.25	22.464001	0
221.25	24.204	0.5
221.25	24.973	2
221.25	25	4
221.25	25	6
221.25	25	8
221.25	25	12
221.25	25	14.5
221.25	25	16.5
221.25	25	18.5
221.25	25	25
21		
206.5	0	0
206.5	1.5	0
206.5	4.5	0
206.5	7	0
206.5	9	0
206.5	11	0
206.5	14	0
206.5	17.5	0
206.5	20	0
206.5	23	0
206.5	24.5	0.555
206.5	24.812	1
206.5	25	2
206.5	25	4
206.5	25	6
206.5	25	8
206.5	25	12
206.5	25	14.5
206.5	25	16.5
206.5	25	18.5
206.5	25	25
21		
191.75	0	0
191.75	4.5	0
191.75	7	0
191.75	9	0
191.75	11	0
191.75	14	0
191.75	17.5	0
191.75	20	0
191.75	23	0
191.75	24.5	0
191.75	24.445	0.5
191.75	24.812	1
191.75	25	2
191.75	25	4
191.75	25	6
191.75	25	8
191.75	25	12
191.75	25	14.5
191.75	25	16.5
191.75	25	18.5
191.75	25	25
20		
177	0	0
177	1.5	0
177	4.5	0
177	7	0
177	9	0
177	11	0
177	14	0
177	17.5	0
177	20	0
177	23	0
177	24.812	1
177	25	2
177	25	4
177	25	6
177	25	8
177	25	12
177	25	14.5
177	25	16.5
177	25	18.5
177	25	25
18		
147.5	0	0
147.5	1.5	0
147.5	4.5	0
147.5	9	0
147.5	11	0
147.5	14	0
147.5	23.200001	0
147.5	24.5	0
147.5	24.812	1
147.5	25	2
147.5	25	4
147.5	25	6
147.5	25	8
147.5	25	12
147.5	25	14.5
147.5	25	16.5
147.5	25	18.5
147.5	25	25
