NODE    ELEM     MODAL     ELEM(BEAM)
9        8        12    8       
MODAL No:        1
NODE(ELEM) No             Z1                                  Z2                                 MID
       5   6.550e-05  -6.897e-05  -6.550e-05   6.897e-05   7.893e-05  -8.240e-05  -7.893e-05   8.240e-05   1.164e-06
       6   6.598e-05  -6.850e-05  -6.598e-05   6.850e-05   7.269e-05  -7.521e-05  -7.269e-05   7.521e-05   0.000e+00
       7   6.410e-05  -6.851e-05  -6.410e-05   6.851e-05   4.341e-05  -4.556e-05  -4.341e-05   4.556e-05  -1.164e-06
       8   3.671e-05  -3.986e-05  -3.671e-05   3.986e-05   3.425e-06  -3.100e-06  -3.425e-06   3.100e-06  -2.910e-07
MODAL No:        7
NODE(ELEM) No             Z1                                  Z2                                 MID
       1  -1.494e-05   1.494e-05   1.494e-05  -1.494e-05  -1.281e+09   1.281e+09   1.281e+09  -1.281e+09  -2.784e-12
       2  -1.281e+09   1.281e+09   1.281e+09  -1.281e+09  -2.224e+09   2.224e+09   2.224e+09  -2.224e+09  -2.973e-12
       3  -2.224e+09   2.224e+09   2.224e+09  -2.224e+09  -3.691e+09   3.691e+09   3.691e+09  -3.691e+09  -4.918e-12
       4  -3.691e+09   3.691e+09   3.691e+09  -3.691e+09  -4.819e+09   4.819e+09   4.819e+09  -4.819e+09  -3.573e-13
       5  -4.819e+09   4.819e+09   4.819e+09  -4.819e+09  -5.096e+09   5.096e+09   5.096e+09  -5.096e+09   7.008e-13
       6  -5.096e+09   5.096e+09   5.096e+09  -5.096e+09  -4.470e+09   4.470e+09   4.470e+09  -4.470e+09  -9.252e-13
       7  -4.470e+09   4.470e+09   4.470e+09  -4.470e+09  -3.268e+09   3.268e+09   3.268e+09  -3.268e+09   8.994e-13
       8  -3.268e+09   3.268e+09   3.268e+09  -3.268e+09  -4.202e-06   4.202e-06   4.202e-06  -4.202e-06   2.143e-13
MODAL No:        8
NODE(ELEM) No             Z1                                  Z2                                 MID
       1   3.027e-05   3.027e-05  -3.027e-05  -3.027e-05   2.562e+09   2.562e+09  -2.562e+09  -2.562e+09  -2.293e-09
       2   2.562e+09   2.562e+09  -2.562e+09  -2.562e+09   4.446e+09   4.446e+09  -4.446e+09  -4.446e+09  -2.414e-09
       3   4.446e+09   4.446e+09  -4.446e+09  -4.446e+09   7.381e+09   7.381e+09  -7.381e+09  -7.381e+09  -3.890e-10
       4   7.381e+09   7.381e+09  -7.381e+09  -7.381e+09   9.636e+09   9.636e+09  -9.636e+09  -9.636e+09  -3.489e-09
