                                            MOTIONS (CENTER OF GRAVITY, INTERPOLATE, WNX6)
-----------------------------------------------------------------------------------------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ              Surge                Sway                 Heave                Roll                 Pitch                 Yaw
------   ----     -----------------------------------------------------------------------------------------------------------------------------
(SECS)  (RAD/S)        AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE
1.775    3.541     4.572e-001   85.080  3.505e-016    0.000  1.646e-001  125.712  1.916e-014    0.000  5.041e+001  -87.115  1.497e-013    0.000
1.764    3.561     4.520e-001   85.007  1.673e-016    0.000  1.567e-001  125.278  3.006e-014    0.000  5.085e+001  -87.148  8.857e-014    0.000
1.754    3.582     4.467e-001   84.936  1.717e-016    0.000  1.492e-001  124.820  4.043e-014    0.000  5.130e+001  -87.179  3.752e-014    0.000
1.744    3.603     4.415e-001   84.867  2.698e-016    0.000  1.421e-001  124.338  4.703e-014    0.000  5.175e+001  -87.209  2.953e-014    0.000
1.734    3.623     4.363e-001   84.799  2.669e-016    0.000  1.354e-001  123.835  4.879e-014    0.000  5.221e+001  -87.237  4.539e-014    0.000
1.724    3.644     4.311e-001   84.735  1.824e-016    0.000  1.291e-001  123.310  4.698e-014    0.000  5.268e+001  -87.263  6.072e-014    0.000
1.715    3.664     4.260e-001   84.672  9.228e-017    0.000  1.231e-001  122.764  4.345e-014    0.000  5.316e+001  -87.287  7.783e-014    0.000
1.705    3.685     4.209e-001   84.613  1.476e-016    0.000  1.174e-001  122.199  3.991e-014    0.000  5.364e+001  -87.309  9.146e-014    0.000
1.696    3.706     4.157e-001   84.556  2.294e-016    0.000  1.120e-001  121.614  3.733e-014    0.000  5.414e+001  -87.328  9.203e-014    0.000
1.686    3.726     4.107e-001   84.502  2.545e-016    0.000  1.069e-001  121.010  3.527e-014    0.000  5.464e+001  -87.344  7.487e-014    0.000
1.677    3.747     4.056e-001   84.451  2.304e-016    0.000  1.020e-001  120.388  3.292e-014    0.000  5.514e+001  -87.357  4.571e-014    0.000
1.668    3.767     4.005e-001   84.403  1.735e-016    0.000  9.744e-002  119.748  2.991e-014    0.000  5.566e+001  -87.367  1.262e-014    0.000
1.659    3.788     3.955e-001   84.359  1.006e-016    0.000  9.307e-002  119.090  2.642e-014    0.000  5.618e+001  -87.373  2.397e-014    0.000
1.650    3.809     3.904e-001   84.318  4.861e-017    0.000  8.892e-002  118.415  2.336e-014    0.000  5.671e+001  -87.376  4.945e-014    0.000
1.641    3.829     3.854e-001   84.280  1.050e-016    0.000  8.497e-002  117.723  2.271e-014    0.000  5.725e+001  -87.374  6.561e-014    0.000
1.632    3.850     3.804e-001   84.246  1.872e-016    0.000  8.122e-002  117.015  2.495e-014    0.000  5.780e+001  -87.368  7.393e-014    0.000
1.623    3.870     3.753e-001   84.214  2.545e-016    0.000  7.766e-002  116.291  2.777e-014    0.000  5.836e+001  -87.358  7.613e-014    0.000
1.615    3.891     3.703e-001   84.186  2.899e-016    0.000  7.427e-002  115.552  2.826e-014    0.000  5.892e+001  -87.343  7.386e-014    0.000
1.606    3.912     3.653e-001   84.162  2.794e-016    0.000  7.104e-002  114.797  2.411e-014    0.000  5.950e+001  -87.323  6.906e-014    0.000
1.598    3.932     3.603e-001   84.140  2.272e-016    0.000  6.798e-002  114.028  1.536e-014    0.000  6.008e+001  -87.299  6.346e-014    0.000
1.590    3.953     3.553e-001   84.122  1.571e-016    0.000  6.505e-002  113.245  5.540e-015    0.000  6.067e+001  -87.270  5.762e-014    0.000
1.581    3.973     3.503e-001   84.106  1.193e-016    0.000  6.227e-002  112.445  1.157e-014    0.000  6.126e+001  -87.236  5.081e-014    0.000
1.573    3.994     3.453e-001   84.093  1.633e-016    0.000  5.962e-002  111.631  2.285e-014    0.000  6.187e+001  -87.196  4.112e-014    0.000
1.565    4.015     3.403e-001   84.083  2.369e-016    0.000  5.709e-002  110.800  3.165e-014    0.000  6.249e+001  -87.151  2.770e-014    0.000
1.557    4.035     3.353e-001   84.075  3.016e-016    0.000  5.469e-002  109.955  3.782e-014    0.000  6.311e+001  -87.101  2.160e-014    0.000
1.549    4.056     3.303e-001   84.069  3.458e-016    0.000  5.239e-002  109.098  4.234e-014    0.000  6.375e+001  -87.046  3.459e-014    0.000
1.541    4.076     3.253e-001   84.066  3.632e-016    0.000  5.021e-002  108.232  4.572e-014    0.000  6.439e+001  -86.984  5.108e-014    0.000
1.534    4.097     3.203e-001   84.065  3.485e-016    0.000  4.813e-002  107.359  4.801e-014    0.000  6.504e+001  -86.918  6.130e-014    0.000
1.526    4.118     3.152e-001   84.067  2.985e-016    0.000  4.615e-002  106.482  4.911e-014    0.000  6.570e+001  -86.845  6.083e-014    0.000
1.518    4.138     3.102e-001   84.070  2.194e-016    0.000  4.427e-002  105.596  4.940e-014    0.000  6.637e+001  -86.767  5.052e-014    0.000
1.511    4.159     3.052e-001   84.075  1.257e-016    0.000  4.246e-002  104.691  4.973e-014    0.000  6.705e+001  -86.682  3.313e-014    0.000
1.503    4.179     3.003e-001   84.081  7.792e-017    0.000  4.074e-002  103.757  5.101e-014    0.000  6.775e+001  -86.590  1.215e-014    0.000
1.496    4.200     2.953e-001   84.088  1.637e-016    0.000  3.908e-002  102.784  5.376e-014    0.000  6.846e+001  -86.491  1.503e-014    0.000
-----------------------------------------------------------------------------------------------------------------------------------------------
WAVE ANGLE = 30.00
PERIOD   FREQ              Surge                Sway                 Heave                Roll                 Pitch                 Yaw
------   ----     -----------------------------------------------------------------------------------------------------------------------------
(SECS)  (RAD/S)        AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE
-----------------------------------------------------------------------------------------------------------------------------------------------
62.832   0.100     1.918e+001   89.973  1.107e+001   90.082  1.000e+000    0.157  6.468e-001   89.957  1.120e+000  -89.893  5.355e-001  -95.563
52.098   0.121     1.590e+001   89.965  9.183e+000   90.105  1.000e+000    0.187  7.800e-001   89.941  1.351e+000  -89.868  6.915e-001  -94.543
44.497   0.141     1.358e+001   89.959  7.842e+000   90.122  1.001e+000    0.218  9.133e-001   89.932  1.582e+000  -89.846  7.672e-001  -94.069
38.831   0.162     1.185e+001   89.954  6.843e+000   90.137  1.001e+000    0.248  1.047e+000   89.926  1.813e+000  -89.825  8.255e-001  -93.705
34.445   0.182     1.051e+001   89.949  6.068e+000   90.152  1.001e+000    0.279  1.180e+000   89.920  2.044e+000  -89.803  8.883e-001  -93.379
30.949   0.203     9.442e+000   89.944  5.451e+000   90.167  1.002e+000    0.310  1.313e+000   89.914  2.275e+000  -89.782  9.625e-001  -93.083
28.098   0.224     8.570e+000   89.939  4.948e+000   90.184  1.002e+000    0.341  1.447e+000   89.906  2.506e+000  -89.760  1.048e+000  -92.821
25.727   0.244     7.846e+000   89.933  4.530e+000   90.201  1.002e+000    0.371  1.580e+000   89.898  2.736e+000  -89.738  1.140e+000  -92.595
23.726   0.265     7.235e+000   89.927  4.177e+000   90.218  1.003e+000    0.401  1.713e+000   89.889  2.967e+000  -89.716  1.234e+000  -92.401
22.013   0.285     6.711e+000   89.921  3.875e+000   90.236  1.003e+000    0.432  1.847e+000   89.880  3.198e+000  -89.693  1.329e+000  -92.234
20.531   0.306     6.259e+000   89.916  3.613e+000   90.253  1.004e+000    0.462  1.980e+000   89.871  3.429e+000  -89.671  1.424e+000  -92.089
19.236   0.327     5.863e+000   89.910  3.385e+000   90.271  1.004e+000    0.493  2.114e+000   89.862  3.660e+000  -89.648  1.518e+000  -91.961
18.095   0.347     5.514e+000   89.904  3.183e+000   90.288  1.005e+000    0.523  2.247e+000   89.854  3.891e+000  -89.626  1.612e+000  -91.847
17.081   0.368     5.204e+000   89.898  3.004e+000   90.305  1.006e+000    0.554  2.380e+000   89.846  4.123e+000  -89.604  1.706e+000  -91.746
16.175   0.388     4.927e+000   89.893  2.844e+000   90.323  1.006e+000    0.585  2.514e+000   89.837  4.354e+000  -89.581  1.800e+000  -91.654
15.361   0.409     4.677e+000   89.887  2.700e+000   90.340  1.007e+000    0.617  2.647e+000   89.829  4.585e+000  -89.559  1.895e+000  -91.572
14.624   0.430     4.452e+000   89.881  2.570e+000   90.358  1.008e+000    0.648  2.781e+000   89.821  4.816e+000  -89.537  1.990e+000  -91.497
13.955   0.450     4.247e+000   89.875  2.452e+000   90.375  1.008e+000    0.680  2.915e+000   89.813  5.048e+000  -89.514  2.086e+000  -91.429
13.344   0.471     4.060e+000   89.870  2.344e+000   90.393  1.009e+000    0.712  3.048e+000   89.805  5.279e+000  -89.492  2.182e+000  -91.367
12.785   0.491     3.889e+000   89.864  2.245e+000   90.411  1.010e+000    0.744  3.182e+000   89.797  5.510e+000  -89.469  2.278e+000  -91.310
12.270   0.512     3.731e+000   89.858  2.154e+000   90.429  1.011e+000    0.776  3.316e+000   89.789  5.742e+000  -89.447  2.375e+000  -91.257
11.796   0.533     3.585e+000   89.852  2.070e+000   90.446  1.012e+000    0.809  3.449e+000   89.782  5.973e+000  -89.424  2.473e+000  -91.209
11.357   0.553     3.451e+000   89.846  1.992e+000   90.464  1.013e+000    0.842  3.583e+000   89.774  6.205e+000  -89.402  2.570e+000  -91.163
10.949   0.574     3.326e+000   89.840  1.920e+000   90.482  1.014e+000    0.876  3.717e+000   89.766  6.436e+000  -89.379  2.668e+000  -91.121
10.569   0.594     3.209e+000   89.834  1.853e+000   90.500  1.015e+000    0.910  3.851e+000   89.759  6.668e+000  -89.356  2.767e+000  -91.082
10.215   0.615     3.101e+000   89.828  1.790e+000   90.519  1.016e+000    0.945  3.985e+000   89.751  6.900e+000  -89.333  2.865e+000  -91.046
9.884    0.636     2.999e+000   89.822  1.731e+000   90.537  1.018e+000    0.980  4.119e+000   89.744  7.132e+000  -89.311  2.965e+000  -91.011
9.574    0.656     2.904e+000   89.816  1.676e+000   90.555  1.019e+000    1.015  4.253e+000   89.737  7.364e+000  -89.288  3.064e+000  -90.979
9.283    0.677     2.814e+000   89.811  1.625e+000   90.574  1.020e+000    1.051  4.387e+000   89.730  7.595e+000  -89.265  3.165e+000  -90.949
9.008    0.697     2.730e+000   89.805  1.576e+000   90.592  1.022e+000    1.088  4.521e+000   89.723  7.827e+000  -89.242  3.265e+000  -90.920
8.750    0.718     2.650e+000   89.798  1.530e+000   90.611  1.023e+000    1.125  4.655e+000   89.716  8.060e+000  -89.219  3.366e+000  -90.893
8.506    0.739     2.575e+000   89.792  1.487e+000   90.630  1.025e+000    1.163  4.789e+000   89.709  8.292e+000  -89.196  3.468e+000  -90.868
8.275    0.759     2.504e+000   89.786  1.446e+000   90.649  1.026e+000    1.202  4.923e+000   89.703  8.524e+000  -89.173  3.570e+000  -90.844
8.056    0.780     2.437e+000   89.780  1.407e+000   90.668  1.028e+000    1.241  5.058e+000   89.696  8.756e+000  -89.150  3.673e+000  -90.821
7.849    0.801     2.373e+000   89.774  1.370e+000   90.687  1.029e+000    1.281  5.192e+000   89.690  8.989e+000  -89.127  3.776e+000  -90.799
7.652    0.821     2.312e+000   89.768  1.335e+000   90.706  1.031e+000    1.322  5.326e+000   89.684  9.221e+000  -89.104  3.880e+000  -90.778
7.465    0.842     2.254e+000   89.762  1.302e+000   90.725  1.033e+000    1.364  5.461e+000   89.678  9.454e+000  -89.081  3.984e+000  -90.759
7.286    0.862     2.199e+000   89.756  1.270e+000   90.745  1.035e+000    1.407  5.595e+000   89.672  9.687e+000  -89.057  4.089e+000  -90.740
7.116    0.883     2.147e+000   89.749  1.240e+000   90.764  1.037e+000    1.451  5.730e+000   89.666  9.919e+000  -89.034  4.195e+000  -90.722
6.954    0.904     2.097e+000   89.743  1.211e+000   90.784  1.039e+000    1.496  5.865e+000   89.661  1.015e+001  -89.010  4.301e+000  -90.705
6.799    0.924     2.049e+000   89.737  1.183e+000   90.804  1.041e+000    1.542  5.999e+000   89.656  1.039e+001  -88.987  4.408e+000  -90.689
6.651    0.945     2.003e+000   89.731  1.156e+000   90.824  1.043e+000    1.589  6.134e+000   89.650  1.062e+001  -88.963  4.516e+000  -90.673
6.509    0.965     1.959e+000   89.724  1.131e+000   90.845  1.046e+000    1.637  6.269e+000   89.645  1.085e+001  -88.940  4.624e+000  -90.658
6.373    0.986     1.917e+000   89.718  1.107e+000   90.865  1.048e+000    1.687  6.404e+000   89.641  1.108e+001  -88.916  4.733e+000  -90.644
6.242    1.007     1.876e+000   89.711  1.083e+000   90.886  1.051e+000    1.738  6.539e+000   89.636  1.132e+001  -88.892  4.843e+000  -90.630
6.117    1.027     1.837e+000   89.705  1.061e+000   90.906  1.053e+000    1.790  6.674e+000   89.632  1.155e+001  -88.869  4.953e+000  -90.616
5.997    1.048     1.800e+000   89.699  1.039e+000   90.927  1.056e+000    1.844  6.809e+000   89.628  1.179e+001  -88.845  5.064e+000  -90.604
5.881    1.068     1.764e+000   89.692  1.019e+000   90.949  1.059e+000    1.900  6.944e+000   89.624  1.202e+001  -88.821  5.176e+000  -90.591
5.770    1.089     1.730e+000   89.685  9.987e-001   90.970  1.062e+000    1.957  7.080e+000   89.620  1.225e+001  -88.797  5.289e+000  -90.580
5.663    1.110     1.696e+000   89.679  9.794e-001   90.991  1.065e+000    2.016  7.215e+000   89.616  1.249e+001  -88.773  5.402e+000  -90.568
5.560    1.130     1.664e+000   89.672  9.609e-001   91.013  1.068e+000    2.078  7.351e+000   89.613  1.272e+001  -88.749  5.517e+000  -90.557
5.460    1.151     1.633e+000   89.666  9.430e-001   91.035  1.072e+000    2.141  7.486e+000   89.610  1.296e+001  -88.724  5.632e+000  -90.546
5.364    1.171     1.603e+000   89.659  9.257e-001   91.057  1.075e+000    2.206  7.622e+000   89.608  1.319e+001  -88.700  5.748e+000  -90.536
5.271    1.192     1.574e+000   89.652  9.090e-001   91.080  1.079e+000    2.274  7.758e+000   89.605  1.342e+001  -88.676  5.866e+000  -90.526
5.182    1.213     1.546e+000   89.645  8.928e-001   91.102  1.082e+000    2.344  7.894e+000   89.603  1.366e+001  -88.651  5.984e+000  -90.517
5.095    1.233     1.519e+000   89.639  8.772e-001   91.125  1.086e+000    2.416  8.030e+000   89.601  1.389e+001  -88.627  6.103e+000  -90.507
5.011    1.254     1.493e+000   89.632  8.621e-001   91.148  1.090e+000    2.492  8.166e+000   89.600  1.413e+001  -88.602  6.223e+000  -90.498
4.930    1.274     1.468e+000   89.625  8.474e-001   91.172  1.095e+000    2.570  8.302e+000   89.598  1.436e+001  -88.577  6.344e+000  -90.490
4.852    1.295     1.443e+000   89.618  8.332e-001   91.196  1.099e+000    2.651  8.438e+000   89.597  1.460e+001  -88.552  6.466e+000  -90.481
4.776    1.316     1.419e+000   89.611  8.195e-001   91.220  1.104e+000    2.736  8.574e+000   89.597  1.483e+001  -88.527  6.589e+000  -90.473
4.702    1.336     1.396e+000   89.604  8.061e-001   91.244  1.109e+000    2.824  8.711e+000   89.597  1.507e+001  -88.502  6.713e+000  -90.465
4.631    1.357     1.374e+000   89.597  7.931e-001   91.268  1.114e+000    2.916  8.847e+000   89.597  1.531e+001  -88.477  6.838e+000  -90.457
4.562    1.377     1.352e+000   89.589  7.806e-001   91.293  1.119e+000    3.012  8.984e+000   89.597  1.554e+001  -88.452  6.964e+000  -90.450
4.494    1.398     1.331e+000   89.582  7.683e-001   91.318  1.124e+000    3.112  9.121e+000   89.598  1.578e+001  -88.427  7.092e+000  -90.442
4.429    1.419     1.310e+000   89.575  7.564e-001   91.344  1.130e+000    3.216  9.258e+000   89.599  1.601e+001  -88.402  7.221e+000  -90.435
4.366    1.439     1.290e+000   89.568  7.449e-001   91.370  1.136e+000    3.325  9.395e+000   89.601  1.625e+001  -88.376  7.351e+000  -90.428
4.304    1.460     1.270e+000   89.560  7.336e-001   91.396  1.142e+000    3.440  9.532e+000   89.603  1.649e+001  -88.351  7.482e+000  -90.422
4.244    1.480     1.251e+000   89.553  7.227e-001   91.423  1.149e+000    3.559  9.669e+000   89.605  1.672e+001  -88.325  7.614e+000  -90.415
4.186    1.501     1.233e+000   89.545  7.121e-001   91.449  1.156e+000    3.685  9.806e+000   89.608  1.696e+001  -88.299  7.748e+000  -90.409
4.129    1.522     1.215e+000   89.538  7.017e-001   91.477  1.163e+000    3.817  9.944e+000   89.612  1.720e+001  -88.273  7.883e+000  -90.403
4.074    1.542     1.198e+000   89.530  6.916e-001   91.504  1.170e+000    3.955  1.008e+001   89.616  1.743e+001  -88.247  8.020e+000  -90.397
4.020    1.563     1.180e+000   89.522  6.817e-001   91.533  1.178e+000    4.101  1.022e+001   89.620  1.767e+001  -88.221  8.157e+000  -90.391
3.968    1.583     1.164e+000   89.515  6.721e-001   91.561  1.186e+000    4.254  1.036e+001   89.625  1.791e+001  -88.195  8.297e+000  -90.385
3.917    1.604     1.148e+000   89.507  6.627e-001   91.590  1.195e+000    4.416  1.050e+001   89.630  1.815e+001  -88.169  8.437e+000  -90.379
3.867    1.625     1.132e+000   89.499  6.535e-001   91.620  1.204e+000    4.586  1.063e+001   89.636  1.839e+001  -88.143  8.579e+000  -90.374
3.819    1.645     1.116e+000   89.491  6.446e-001   91.649  1.214e+000    4.766  1.077e+001   89.643  1.862e+001  -88.116  8.723e+000  -90.369
3.772    1.666     1.101e+000   89.483  6.359e-001   91.680  1.224e+000    4.956  1.091e+001   89.650  1.886e+001  -88.090  8.868e+000  -90.364
3.726    1.686     1.086e+000   89.475  6.273e-001   91.711  1.234e+000    5.157  1.105e+001   89.657  1.910e+001  -88.063  9.015e+000  -90.358
3.681    1.707     1.072e+000   89.467  6.190e-001   91.742  1.246e+000    5.371  1.119e+001   89.666  1.934e+001  -88.036  9.164e+000  -90.354
3.637    1.728     1.058e+000   89.458  6.109e-001   91.774  1.257e+000    5.597  1.133e+001   89.675  1.958e+001  -88.009  9.314e+000  -90.349
3.594    1.748     1.044e+000   89.450  6.029e-001   91.807  1.270e+000    5.837  1.146e+001   89.684  1.982e+001  -87.982  9.466e+000  -90.344
3.552    1.769     1.030e+000   89.442  5.951e-001   91.840  1.283e+000    6.092  1.160e+001   89.694  2.006e+001  -87.955  9.619e+000  -90.339
3.511    1.789     1.017e+000   89.433  5.875e-001   91.873  1.296e+000    6.364  1.174e+001   89.705  2.030e+001  -87.928  9.774e+000  -90.335
3.471    1.810     1.004e+000   89.425  5.800e-001   91.908  1.311e+000    6.654  1.188e+001   89.717  2.054e+001  -87.900  9.931e+000  -90.331
3.432    1.831     9.917e-001   89.416  5.727e-001   91.942  1.326e+000    6.963  1.202e+001   89.729  2.078e+001  -87.873  1.009e+001  -90.326
3.394    1.851     9.793e-001   89.407  5.655e-001   91.978  1.343e+000    7.294  1.216e+001   89.743  2.102e+001  -87.845  1.025e+001  -90.322
3.357    1.872     9.671e-001   89.398  5.585e-001   92.014  1.360e+000    7.648  1.230e+001   89.757  2.126e+001  -87.817  1.041e+001  -90.318
3.320    1.892     9.552e-001   89.389  5.516e-001   92.051  1.379e+000    8.027  1.244e+001   89.772  2.150e+001  -87.789  1.058e+001  -90.314
3.284    1.913     9.435e-001   89.380  5.448e-001   92.089  1.398e+000    8.434  1.258e+001   89.787  2.174e+001  -87.761  1.075e+001  -90.310
3.249    1.934     9.321e-001   89.371  5.382e-001   92.127  1.419e+000    8.871  1.272e+001   89.804  2.198e+001  -87.733  1.091e+001  -90.306
3.215    1.954     9.209e-001   89.362  5.317e-001   92.166  1.441e+000    9.343  1.286e+001   89.821  2.223e+001  -87.705  1.108e+001  -90.302
3.182    1.975     9.099e-001   89.353  5.254e-001   92.206  1.465e+000    9.852  1.300e+001   89.840  2.247e+001  -87.676  1.126e+001  -90.299
3.149    1.995     8.990e-001   89.343  5.191e-001   92.247  1.490e+000   10.404  1.314e+001   89.859  2.271e+001  -87.648  1.143e+001  -90.295
3.117    2.016     8.884e-001   89.333  5.130e-001   92.289  1.517e+000   11.002  1.329e+001   89.879  2.295e+001  -87.619  1.161e+001  -90.292
3.085    2.037     8.780e-001   89.324  5.069e-001   92.331  1.546e+000   11.652  1.343e+001   89.901  2.320e+001  -87.590  1.179e+001  -90.288
3.054    2.057     8.678e-001   89.314  5.010e-001   92.375  1.577e+000   12.358  1.357e+001   89.923  2.344e+001  -87.561  1.197e+001  -90.285
3.024    2.078     8.577e-001   89.304  4.952e-001   92.419  1.610e+000   13.125  1.371e+001   89.947  2.368e+001  -87.532  1.215e+001  -90.282
2.994    2.098     8.478e-001   89.294  4.895e-001   92.464  1.646e+000   13.959  1.385e+001   89.972  2.393e+001  -87.503  1.234e+001  -90.279
2.965    2.119     8.381e-001   89.284  4.838e-001   92.511  1.684e+000   14.868  1.399e+001   89.998  2.417e+001  -87.473  1.253e+001  -90.276
2.936    2.140     8.286e-001   89.273  4.783e-001   92.558  1.724e+000   15.866  1.414e+001   90.025  2.442e+001  -87.444  1.272e+001  -90.273
2.908    2.160     8.192e-001   89.263  4.729e-001   92.606  1.769e+000   16.970  1.428e+001   90.053  2.466e+001  -87.414  1.291e+001  -90.270
2.881    2.181     8.099e-001   89.252  4.675e-001   92.656  1.817e+000   18.201  1.442e+001   90.083  2.491e+001  -87.384  1.311e+001  -90.267
2.854    2.202     8.009e-001   89.242  4.622e-001   92.707  1.870e+000   19.583  1.456e+001   90.114  2.515e+001  -87.354  1.331e+001  -90.264
2.828    2.222     7.919e-001   89.231  4.570e-001   92.758  1.927e+000   21.138  1.471e+001   90.146  2.540e+001  -87.324  1.351e+001  -90.261
2.802    2.243     7.831e-001   89.220  4.519e-001   92.812  1.989e+000   22.869  1.485e+001   90.180  2.564e+001  -87.294  1.372e+001  -90.259
2.776    2.263     7.744e-001   89.209  4.469e-001   92.866  2.054e+000   24.769  1.499e+001   90.215  2.589e+001  -87.264  1.392e+001  -90.256
2.751    2.284     7.659e-001   89.197  4.419e-001   92.922  2.122e+000   26.828  1.513e+001   90.252  2.613e+001  -87.234  1.413e+001  -90.254
2.726    2.305     7.575e-001   89.186  4.370e-001   92.979  2.190e+000   29.033  1.528e+001   90.290  2.638e+001  -87.204  1.434e+001  -90.251
2.702    2.325     7.492e-001   89.174  4.322e-001   93.037  2.259e+000   31.414  1.542e+001   90.330  2.663e+001  -87.174  1.456e+001  -90.249
2.679    2.346     7.410e-001   89.162  4.274e-001   93.097  2.333e+000   34.124  1.557e+001   90.372  2.687e+001  -87.145  1.478e+001  -90.247
2.655    2.366     7.329e-001   89.150  4.227e-001   93.158  2.414e+000   37.359  1.571e+001   90.415  2.712e+001  -87.116  1.500e+001  -90.245
2.632    2.387     7.250e-001   89.137  4.181e-001   93.221  2.503e+000   41.345  1.585e+001   90.460  2.737e+001  -87.088  1.522e+001  -90.243
2.610    2.408     7.171e-001   89.125  4.135e-001   93.285  2.598e+000   46.316  1.600e+001   90.507  2.761e+001  -87.062  1.545e+001  -90.241
2.588    2.428     7.094e-001   89.112  4.090e-001   93.351  2.685e+000   52.177  1.614e+001   90.555  2.786e+001  -87.037  1.568e+001  -90.239
2.566    2.449     7.017e-001   89.099  4.045e-001   93.419  2.745e+000   58.313  1.629e+001   90.606  2.810e+001  -87.016  1.591e+001  -90.237
2.544    2.469     6.942e-001   89.085  4.001e-001   93.488  2.769e+000   64.020  1.643e+001   90.658  2.835e+001  -86.996  1.615e+001  -90.235
2.523    2.490     6.868e-001   89.071  3.957e-001   93.560  2.760e+000   68.646  1.658e+001   90.713  2.860e+001  -86.976  1.639e+001  -90.234
2.503    2.511     6.794e-001   89.056  3.914e-001   93.633  2.730e+000   71.677  1.672e+001   90.769  2.885e+001  -86.955  1.663e+001  -90.232
2.482    2.531     6.722e-001   89.041  3.871e-001   93.707  2.687e+000   74.039  1.686e+001   90.828  2.911e+001  -86.933  1.688e+001  -90.231
2.462    2.552     6.650e-001   89.025  3.829e-001   93.784  2.626e+000   78.028  1.701e+001   90.889  2.936e+001  -86.914  1.712e+001  -90.230
2.443    2.572     6.579e-001   89.009  3.787e-001   93.863  2.522e+000   85.488  1.715e+001   90.952  2.961e+001  -86.902  1.738e+001  -90.229
2.423    2.593     6.509e-001   88.992  3.746e-001   93.944  2.339e+000   96.346  1.730e+001   91.017  2.987e+001  -86.895  1.763e+001  -90.227
2.404    2.614     6.440e-001   88.974  3.705e-001   94.026  2.092e+000  107.914  1.744e+001   91.085  3.013e+001  -86.886  1.789e+001  -90.227
2.385    2.634     6.371e-001   88.957  3.664e-001   94.111  1.868e+000  116.424  1.759e+001   91.155  3.039e+001  -86.870  1.815e+001  -90.226
2.367    2.655     6.304e-001   88.939  3.624e-001   94.198  1.707e+000  121.403  1.773e+001   91.227  3.066e+001  -86.849  1.842e+001  -90.225
2.349    2.675     6.237e-001   88.921  3.584e-001   94.288  1.596e+000  123.717  1.788e+001   91.302  3.092e+001  -86.824  1.869e+001  -90.225
2.331    2.696     6.171e-001   88.903  3.545e-001   94.379  1.512e+000  123.618  1.802e+001   91.380  3.118e+001  -86.798  1.896e+001  -90.224
2.313    2.717     6.105e-001   88.885  3.505e-001   94.473  1.412e+000  120.386  1.817e+001   91.460  3.144e+001  -86.769  1.923e+001  -90.224
2.295    2.737     6.040e-001   88.865  3.466e-001   94.569  1.200e+000  115.421  1.831e+001   91.543  3.170e+001  -86.739  1.951e+001  -90.224
2.278    2.758     5.976e-001   88.844  3.427e-001   94.668  9.158e-001  119.776  1.846e+001   91.628  3.197e+001  -86.715  1.980e+001  -90.224
2.261    2.778     5.912e-001   88.824  3.389e-001   94.769  8.452e-001  132.645  1.860e+001   91.717  3.224e+001  -86.697  2.008e+001  -90.224
2.245    2.799     5.849e-001   88.804  3.351e-001   94.873  8.732e-001  139.179  1.874e+001   91.808  3.250e+001  -86.678  2.037e+001  -90.225
2.228    2.820     5.787e-001   88.784  3.313e-001   94.979  8.775e-001  141.832  1.889e+001   91.902  3.277e+001  -86.656  2.066e+001  -90.225
2.212    2.840     5.725e-001   88.762  3.275e-001   95.088  8.454e-001  143.769  1.903e+001   91.999  3.303e+001  -86.634  2.096e+001  -90.226
2.196    2.861     5.664e-001   88.740  3.237e-001   95.199  7.612e-001  146.407  1.917e+001   92.099  3.330e+001  -86.610  2.126e+001  -90.227
2.181    2.881     5.603e-001   88.716  3.200e-001   95.313  5.399e-001  152.151  1.932e+001   92.202  3.357e+001  -86.584  2.156e+001  -90.228
2.165    2.902     5.543e-001   88.688  3.163e-001   95.429  3.713e-001    5.644  1.946e+001   92.308  3.385e+001  -86.534  2.187e+001  -90.230
2.150    2.923     5.484e-001   88.671  3.126e-001   95.549  1.757e+000   83.710  1.960e+001   92.417  3.408e+001  -86.511  2.218e+001  -90.232
2.135    2.943     5.424e-001   88.648  3.089e-001   95.670  1.423e+000  106.396  1.974e+001   92.529  3.435e+001  -86.515  2.249e+001  -90.234
2.120    2.964     5.366e-001   88.622  3.052e-001   95.795  1.192e+000  109.998  1.988e+001   92.644  3.463e+001  -86.498  2.281e+001  -90.236
2.105    2.984     5.307e-001   88.595  3.015e-001   95.922  9.932e-001  109.951  2.002e+001   92.763  3.491e+001  -86.478  2.313e+001  -90.238
2.091    3.005     5.249e-001   88.567  2.978e-001   96.052  8.197e-001  111.065  2.016e+001   92.884  3.519e+001  -86.460  2.345e+001  -90.241
2.077    3.026     5.192e-001   88.539  2.942e-001   96.185  7.067e-001  114.540  2.029e+001   93.009  3.546e+001  -86.444  2.378e+001  -90.244
2.063    3.046     5.135e-001   88.511  2.905e-001   96.320  6.428e-001  118.332  2.043e+001   93.136  3.574e+001  -86.428  2.411e+001  -90.248
2.049    3.067     5.078e-001   88.482  2.869e-001   96.457  6.048e-001  121.401  2.056e+001   93.267  3.602e+001  -86.414  2.444e+001  -90.252
2.035    3.087     5.022e-001   88.452  2.833e-001   96.598  5.765e-001  123.628  2.070e+001   93.401  3.630e+001  -86.399  2.478e+001  -90.256
