                                            MOTIONS (CENTER OF GRAVITY, INTERPOLATE, WNX6)
-----------------------------------------------------------------------------------------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ              Surge                Sway                 Heave                Roll                 Pitch                 Yaw
------   ----     -----------------------------------------------------------------------------------------------------------------------------
(SECS)  (RAD/S)        AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE
6.954    0.904     2.421e+000   89.550  1.130e-014    0.000  1.039e+000    1.493  1.263e-013    0.000  1.172e+001  -88.770  6.509e-012    0.000
6.799    0.924     2.366e+000   89.539  9.203e-015    0.000  1.041e+000    1.539  6.942e-014    0.000  1.199e+001  -88.741  5.623e-012    0.000
6.651    0.945     2.313e+000   89.528  6.163e-015    0.000  1.043e+000    1.586  1.491e-015    0.000  1.226e+001  -88.713  3.690e-012    0.000
6.509    0.965     2.262e+000   89.517  3.100e-015    0.000  1.046e+000    1.634  6.679e-014    0.000  1.253e+001  -88.684  1.320e-012    0.000
6.373    0.986     2.213e+000   89.505  8.936e-016    0.000  1.048e+000    1.684  1.157e-013    0.000  1.280e+001  -88.655  1.065e-012    0.000
6.242    1.007     2.167e+000   89.493  6.164e-016    0.000  1.051e+000    1.735  1.317e-013    0.000  1.307e+001  -88.627  2.895e-012    0.000
6.117    1.027     2.122e+000   89.482  3.016e-016    0.000  1.053e+000    1.787  1.108e-013    0.000  1.334e+001  -88.598  4.043e-012    0.000
5.997    1.048     2.079e+000   89.470  1.156e-015    0.000  1.056e+000    1.841  6.623e-014    0.000  1.361e+001  -88.569  4.525e-012    0.000
5.881    1.068     2.037e+000   89.458  2.365e-015    0.000  1.059e+000    1.896  1.344e-014    0.000  1.388e+001  -88.540  4.386e-012    0.000
5.770    1.089     1.997e+000   89.446  3.103e-015    0.000  1.062e+000    1.953  3.635e-014    0.000  1.415e+001  -88.511  3.668e-012    0.000
5.663    1.110     1.959e+000   89.434  2.898e-015    0.000  1.065e+000    2.012  6.440e-014    0.000  1.442e+001  -88.482  2.414e-012    0.000
5.560    1.130     1.922e+000   89.422  1.797e-015    0.000  1.068e+000    2.073  6.743e-014    0.000  1.469e+001  -88.453  8.238e-013    0.000
5.460    1.151     1.886e+000   89.410  3.372e-016    0.000  1.072e+000    2.136  5.001e-014    0.000  1.496e+001  -88.424  8.600e-013    0.000
5.364    1.171     1.851e+000   89.398  1.133e-015    0.000  1.075e+000    2.201  1.756e-014    0.000  1.523e+001  -88.395  2.230e-012    0.000
5.271    1.192     1.818e+000   89.385  2.077e-015    0.000  1.079e+000    2.268  2.654e-014    0.000  1.550e+001  -88.366  3.113e-012    0.000
5.182    1.213     1.785e+000   89.373  2.241e-015    0.000  1.082e+000    2.338  7.450e-014    0.000  1.577e+001  -88.337  3.310e-012    0.000
5.095    1.233     1.754e+000   89.360  1.734e-015    0.000  1.086e+000    2.411  1.233e-013    0.000  1.604e+001  -88.308  2.909e-012    0.000
5.011    1.254     1.724e+000   89.348  9.371e-016    0.000  1.090e+000    2.486  1.687e-013    0.000  1.632e+001  -88.278  2.181e-012    0.000
4.930    1.274     1.695e+000   89.335  3.419e-016    0.000  1.095e+000    2.564  2.067e-013    0.000  1.659e+001  -88.249  1.365e-012    0.000
4.852    1.295     1.666e+000   89.322  5.583e-016    0.000  1.099e+000    2.645  2.333e-013    0.000  1.686e+001  -88.220  6.726e-013    0.000
4.776    1.316     1.639e+000   89.309  5.494e-016    0.000  1.104e+000    2.729  2.448e-013    0.000  1.713e+001  -88.191  2.709e-013    0.000
4.702    1.336     1.612e+000   89.295  2.573e-016    0.000  1.109e+000    2.817  2.407e-013    0.000  1.740e+001  -88.161  1.324e-013    0.000
4.631    1.357     1.586e+000   89.282  4.204e-016    0.000  1.114e+000    2.908  2.218e-013    0.000  1.767e+001  -88.132  1.385e-013    0.000
4.562    1.377     1.561e+000   89.269  7.549e-016    0.000  1.119e+000    3.004  1.887e-013    0.000  1.795e+001  -88.103  2.030e-013    0.000
4.494    1.398     1.536e+000   89.255  7.876e-016    0.000  1.124e+000    3.103  1.420e-013    0.000  1.822e+001  -88.073  2.440e-013    0.000
4.429    1.419     1.513e+000   89.241  3.657e-016    0.000  1.130e+000    3.207  8.337e-014    0.000  1.849e+001  -88.044  1.917e-013    0.000
4.366    1.439     1.490e+000   89.227  3.757e-016    0.000  1.136e+000    3.316  2.354e-014    0.000  1.877e+001  -88.014  3.788e-014    0.000
4.304    1.460     1.467e+000   89.213  1.227e-015    0.000  1.142e+000    3.430  2.382e-014    0.000  1.904e+001  -87.985  2.305e-013    0.000
4.244    1.480     1.445e+000   89.199  1.997e-015    0.000  1.149e+000    3.549  4.465e-014    0.000  1.931e+001  -87.955  5.879e-013    0.000
4.186    1.501     1.424e+000   89.184  2.511e-015    0.000  1.156e+000    3.674  2.664e-014    0.000  1.959e+001  -87.926  1.038e-012    0.000
4.129    1.522     1.403e+000   89.170  2.657e-015    0.000  1.163e+000    3.806  5.000e-014    0.000  1.986e+001  -87.896  1.554e-012    0.000
4.074    1.542     1.383e+000   89.155  2.500e-015    0.000  1.170e+000    3.944  1.429e-013    0.000  2.013e+001  -87.867  2.030e-012    0.000
4.020    1.563     1.363e+000   89.140  2.138e-015    0.000  1.178e+000    4.089  2.342e-013    0.000  2.041e+001  -87.837  2.358e-012    0.000
3.968    1.583     1.344e+000   89.125  1.665e-015    0.000  1.186e+000    4.242  2.935e-013    0.000  2.068e+001  -87.807  2.438e-012    0.000
3.917    1.604     1.325e+000   89.110  1.177e-015    0.000  1.195e+000    4.403  2.912e-013    0.000  2.096e+001  -87.778  2.180e-012    0.000
3.867    1.625     1.307e+000   89.094  7.617e-016    0.000  1.204e+000    4.572  2.142e-013    0.000  2.123e+001  -87.748  1.588e-012    0.000
3.819    1.645     1.289e+000   89.079  4.889e-016    0.000  1.214e+000    4.752  9.004e-014    0.000  2.151e+001  -87.719  8.494e-013    0.000
3.772    1.666     1.272e+000   89.063  3.879e-016    0.000  1.224e+000    4.941  6.201e-014    0.000  2.178e+001  -87.689  2.093e-013    0.000
3.726    1.686     1.255e+000   89.047  4.257e-016    0.000  1.234e+000    5.142  1.874e-013    0.000  2.206e+001  -87.659  3.993e-013    0.000
3.681    1.707     1.238e+000   89.031  6.516e-016    0.000  1.245e+000    5.355  2.691e-013    0.000  2.233e+001  -87.630  5.046e-013    0.000
3.637    1.728     1.222e+000   89.014  1.096e-015    0.000  1.257e+000    5.580  2.910e-013    0.000  2.261e+001  -87.600  2.362e-013    0.000
3.594    1.748     1.206e+000   88.997  1.637e-015    0.000  1.269e+000    5.820  2.687e-013    0.000  2.289e+001  -87.570  2.324e-013    0.000
3.552    1.769     1.190e+000   88.980  2.147e-015    0.000  1.283e+000    6.074  2.202e-013    0.000  2.316e+001  -87.541  7.168e-013    0.000
3.511    1.789     1.175e+000   88.963  2.517e-015    0.000  1.296e+000    6.345  1.641e-013    0.000  2.344e+001  -87.511  1.049e-012    0.000
3.471    1.810     1.160e+000   88.946  2.652e-015    0.000  1.311e+000    6.635  1.186e-013    0.000  2.372e+001  -87.482  1.079e-012    0.000
3.432    1.831     1.145e+000   88.928  2.542e-015    0.000  1.326e+000    6.943  9.022e-014    0.000  2.400e+001  -87.452  8.149e-013    0.000
3.394    1.851     1.131e+000   88.910  2.255e-015    0.000  1.343e+000    7.273  7.268e-014    0.000  2.427e+001  -87.423  4.268e-013    0.000
3.357    1.872     1.117e+000   88.892  1.858e-015    0.000  1.360e+000    7.627  5.857e-014    0.000  2.455e+001  -87.393  2.771e-013    0.000
3.320    1.892     1.103e+000   88.873  1.415e-015    0.000  1.378e+000    8.005  4.024e-014    0.000  2.483e+001  -87.364  5.010e-013    0.000
3.284    1.913     1.090e+000   88.854  9.820e-016    0.000  1.398e+000    8.411  1.093e-014    0.000  2.511e+001  -87.334  5.744e-013    0.000
3.249    1.934     1.077e+000   88.835  5.819e-016    0.000  1.419e+000    8.848  2.786e-014    0.000  2.539e+001  -87.305  4.460e-013    0.000
3.215    1.954     1.064e+000   88.816  2.523e-016    0.000  1.441e+000    9.319  6.364e-014    0.000  2.567e+001  -87.276  2.226e-013    0.000
3.182    1.975     1.051e+000   88.796  2.955e-016    0.000  1.464e+000    9.828  8.583e-014    0.000  2.595e+001  -87.246  1.249e-013    0.000
3.149    1.995     1.038e+000   88.776  5.948e-016    0.000  1.490e+000   10.378  8.195e-014    0.000  2.623e+001  -87.217  2.370e-013    0.000
3.117    2.016     1.026e+000   88.755  8.885e-016    0.000  1.517e+000   10.976  4.137e-014    0.000  2.651e+001  -87.188  2.193e-013    0.000
3.085    2.037     1.014e+000   88.735  1.131e-015    0.000  1.546e+000   11.625  2.972e-014    0.000  2.679e+001  -87.159  8.963e-014    0.000
3.054    2.057     1.002e+000   88.713  1.302e-015    0.000  1.577e+000   12.330  1.075e-013    0.000  2.707e+001  -87.130  1.562e-013    0.000
3.024    2.078     9.908e-001   88.692  1.390e-015    0.000  1.610e+000   13.097  1.751e-013    0.000  2.735e+001  -87.101  3.136e-013    0.000
2.994    2.098     9.794e-001   88.670  1.396e-015    0.000  1.645e+000   13.931  2.101e-013    0.000  2.764e+001  -87.073  3.689e-013    0.000
2.965    2.119     9.682e-001   88.648  1.333e-015    0.000  1.683e+000   14.839  1.956e-013    0.000  2.792e+001  -87.044  2.782e-013    0.000
2.936    2.140     9.571e-001   88.625  1.232e-015    0.000  1.724e+000   15.836  1.433e-013    0.000  2.820e+001  -87.016  2.068e-013    0.000
2.908    2.160     9.463e-001   88.602  1.121e-015    0.000  1.768e+000   16.940  7.456e-014    0.000  2.848e+001  -86.987  3.931e-013    0.000
2.881    2.181     9.357e-001   88.578  1.013e-015    0.000  1.816e+000   18.170  1.202e-014    0.000  2.877e+001  -86.959  6.286e-013    0.000
2.854    2.202     9.252e-001   88.554  9.109e-016    0.000  1.869e+000   19.552  2.243e-014    0.000  2.905e+001  -86.931  7.757e-013    0.000
2.828    2.222     9.149e-001   88.530  7.967e-016    0.000  1.926e+000   21.107  1.831e-014    0.000  2.933e+001  -86.903  7.775e-013    0.000
2.802    2.243     9.047e-001   88.505  6.456e-016    0.000  1.988e+000   22.838  3.726e-014    0.000  2.962e+001  -86.875  6.688e-013    0.000
2.776    2.263     8.947e-001   88.480  4.462e-016    0.000  2.053e+000   24.737  8.064e-014    0.000  2.990e+001  -86.848  5.056e-013    0.000
2.751    2.284     8.849e-001   88.454  2.052e-016    0.000  2.121e+000   26.797  1.099e-013    0.000  3.019e+001  -86.821  3.519e-013    0.000
2.726    2.305     8.752e-001   88.427  1.353e-016    0.000  2.189e+000   29.002  1.010e-013    0.000  3.047e+001  -86.795  2.724e-013    0.000
2.702    2.325     8.657e-001   88.400  4.392e-016    0.000  2.258e+000   31.382  4.479e-014    0.000  3.076e+001  -86.769  2.572e-013    0.000
2.679    2.346     8.563e-001   88.372  7.637e-016    0.000  2.331e+000   34.091  3.912e-014    0.000  3.105e+001  -86.744  2.432e-013    0.000
