MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
3.149    1.995     2.218e-002  1.038e+000  1.038e+000   88.776
3.117    2.016     2.229e-002  1.026e+000  1.026e+000   88.755
3.085    2.037     2.240e-002  1.014e+000  1.014e+000   88.735
3.054    2.057     2.250e-002  1.002e+000  1.002e+000   88.713
3.024    2.078     2.262e-002  9.905e-001  9.908e-001   88.692
2.994    2.098     2.273e-002  9.791e-001  9.794e-001   88.670
2.965    2.119     2.285e-002  9.679e-001  9.682e-001   88.648
2.936    2.140     2.297e-002  9.569e-001  9.571e-001   88.625
2.908    2.160     2.309e-002  9.460e-001  9.463e-001   88.602
2.881    2.181     2.321e-002  9.354e-001  9.357e-001   88.578
2.854    2.202     2.334e-002  9.249e-001  9.252e-001   88.554
2.828    2.222     2.347e-002  9.146e-001  9.149e-001   88.530
2.802    2.243     2.360e-002  9.044e-001  9.047e-001   88.505
2.776    2.263     2.374e-002  8.944e-001  8.947e-001   88.480
2.751    2.284     2.388e-002  8.846e-001  8.849e-001   88.454
2.726    2.305     2.402e-002  8.749e-001  8.752e-001   88.427
2.702    2.325     2.417e-002  8.653e-001  8.657e-001   88.400
2.679    2.346     2.432e-002  8.559e-001  8.563e-001   88.372
2.655    2.366     2.448e-002  8.466e-001  8.470e-001   88.344
2.632    2.387     2.463e-002  8.375e-001  8.378e-001   88.315
2.610    2.408     2.479e-002  8.284e-001  8.288e-001   88.286
2.588    2.428     2.496e-002  8.195e-001  8.199e-001   88.256
2.566    2.449     2.513e-002  8.107e-001  8.111e-001   88.225
2.544    2.469     2.531e-002  8.021e-001  8.025e-001   88.193
2.523    2.490     2.550e-002  7.935e-001  7.939e-001   88.160
2.503    2.511     2.569e-002  7.851e-001  7.855e-001   88.126
2.482    2.531     2.589e-002  7.767e-001  7.771e-001   88.091
2.462    2.552     2.609e-002  7.685e-001  7.689e-001   88.055
2.443    2.572     2.630e-002  7.603e-001  7.608e-001   88.019
2.423    2.593     2.652e-002  7.523e-001  7.528e-001   87.981
2.404    2.614     2.675e-002  7.443e-001  7.448e-001   87.942
2.385    2.634     2.698e-002  7.365e-001  7.370e-001   87.902
2.367    2.655     2.721e-002  7.287e-001  7.292e-001   87.861
2.349    2.675     2.744e-002  7.210e-001  7.216e-001   87.820
2.331    2.696     2.768e-002  7.135e-001  7.140e-001   87.779
2.313    2.717     2.792e-002  7.060e-001  7.065e-001   87.735
2.295    2.737     2.817e-002  6.986e-001  6.991e-001   87.691
2.278    2.758     2.844e-002  6.912e-001  6.918e-001   87.644
2.261    2.778     2.869e-002  6.839e-001  6.845e-001   87.598
2.245    2.799     2.895e-002  6.767e-001  6.773e-001   87.550
2.228    2.820     2.921e-002  6.696e-001  6.702e-001   87.502
2.212    2.840     2.948e-002  6.625e-001  6.632e-001   87.452
2.196    2.861     2.976e-002  6.555e-001  6.562e-001   87.401
2.181    2.881     3.005e-002  6.486e-001  6.493e-001   87.347
2.165    2.902     3.039e-002  6.418e-001  6.425e-001   87.289
2.150    2.923     3.061e-002  6.351e-001  6.358e-001   87.240
2.135    2.943     3.089e-002  6.283e-001  6.291e-001   87.185
2.120    2.964     3.120e-002  6.216e-001  6.224e-001   87.127
2.105    2.984     3.151e-002  6.150e-001  6.158e-001   87.067
2.091    3.005     3.183e-002  6.084e-001  6.093e-001   87.005
2.077    3.026     3.215e-002  6.019e-001  6.028e-001   86.943
2.063    3.046     3.247e-002  5.955e-001  5.964e-001   86.879
2.049    3.067     3.279e-002  5.891e-001  5.900e-001   86.814
2.035    3.087     3.311e-002  5.828e-001  5.837e-001   86.748
2.022    3.108     3.344e-002  5.765e-001  5.775e-001   86.680
2.008    3.129     3.377e-002  5.703e-001  5.713e-001   86.611
1.995    3.149     3.410e-002  5.641e-001  5.651e-001   86.541
1.982    3.170     3.443e-002  5.580e-001  5.590e-001   86.469
1.969    3.190     3.476e-002  5.519e-001  5.530e-001   86.396
