MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
5.271    1.192     9.330e-004  1.354e-001  1.354e-001   89.605
5.182    1.213     9.545e-004  1.378e-001  1.378e-001   89.603
5.095    1.233     9.754e-004  1.401e-001  1.401e-001   89.601
5.011    1.254     9.958e-004  1.425e-001  1.425e-001   89.600
4.930    1.274     1.016e-003  1.449e-001  1.449e-001   89.598
4.852    1.295     1.035e-003  1.473e-001  1.473e-001   89.597
4.776    1.316     1.053e-003  1.496e-001  1.497e-001   89.597
4.702    1.336     1.070e-003  1.520e-001  1.520e-001   89.597
4.631    1.357     1.087e-003  1.544e-001  1.544e-001   89.597
4.562    1.377     1.102e-003  1.568e-001  1.568e-001   89.597
4.494    1.398     1.117e-003  1.592e-001  1.592e-001   89.598
4.429    1.419     1.130e-003  1.616e-001  1.616e-001   89.599
4.366    1.439     1.142e-003  1.640e-001  1.640e-001   89.601
4.304    1.460     1.153e-003  1.664e-001  1.664e-001   89.603
4.244    1.480     1.162e-003  1.688e-001  1.688e-001   89.605
4.186    1.501     1.170e-003  1.712e-001  1.712e-001   89.608
4.129    1.522     1.176e-003  1.736e-001  1.736e-001   89.612
4.074    1.542     1.180e-003  1.760e-001  1.760e-001   89.616
4.020    1.563     1.183e-003  1.784e-001  1.784e-001   89.620
3.968    1.583     1.183e-003  1.808e-001  1.808e-001   89.625
3.917    1.604     1.182e-003  1.832e-001  1.832e-001   89.630
3.867    1.625     1.178e-003  1.856e-001  1.856e-001   89.636
3.819    1.645     1.172e-003  1.880e-001  1.880e-001   89.643
3.772    1.666     1.164e-003  1.904e-001  1.904e-001   89.650
3.726    1.686     1.153e-003  1.928e-001  1.928e-001   89.657
3.681    1.707     1.139e-003  1.952e-001  1.953e-001   89.666
3.637    1.728     1.123e-003  1.977e-001  1.977e-001   89.675
3.594    1.748     1.103e-003  2.001e-001  2.001e-001   89.684
3.552    1.769     1.080e-003  2.025e-001  2.025e-001   89.694
3.511    1.789     1.054e-003  2.050e-001  2.050e-001   89.705
3.471    1.810     1.024e-003  2.074e-001  2.074e-001   89.717
3.432    1.831     9.907e-004  2.098e-001  2.098e-001   89.729
3.394    1.851     9.533e-004  2.123e-001  2.123e-001   89.743
3.357    1.872     9.117e-004  2.147e-001  2.147e-001   89.757
3.320    1.892     8.659e-004  2.172e-001  2.172e-001   89.772
3.284    1.913     8.156e-004  2.196e-001  2.196e-001   89.787
3.249    1.934     7.605e-004  2.220e-001  2.220e-001   89.804
3.215    1.954     7.004e-004  2.245e-001  2.245e-001   89.821
3.182    1.975     6.351e-004  2.270e-001  2.270e-001   89.840
3.149    1.995     5.644e-004  2.294e-001  2.294e-001   89.859
3.117    2.016     4.879e-004  2.319e-001  2.319e-001   89.879
3.085    2.037     4.054e-004  2.343e-001  2.343e-001   89.901
3.054    2.057     3.167e-004  2.368e-001  2.368e-001   89.923
3.024    2.078     2.215e-004  2.393e-001  2.393e-001   89.947
2.994    2.098     1.194e-004  2.418e-001  2.418e-001   89.972
2.965    2.119     1.017e-005  2.442e-001  2.442e-001   89.998
2.936    2.140    -1.065e-004  2.467e-001  2.467e-001   90.025
2.908    2.160    -2.310e-004  2.492e-001  2.492e-001   90.053
2.881    2.181    -3.636e-004  2.517e-001  2.517e-001   90.083
2.854    2.202    -5.047e-004  2.542e-001  2.542e-001   90.114
2.828    2.222    -6.547e-004  2.567e-001  2.567e-001   90.146
2.802    2.243    -8.138e-004  2.592e-001  2.592e-001   90.180
2.776    2.263    -9.826e-004  2.616e-001  2.617e-001   90.215
2.751    2.284    -1.161e-003  2.641e-001  2.642e-001   90.252
2.726    2.305    -1.351e-003  2.667e-001  2.667e-001   90.290
2.702    2.325    -1.551e-003  2.692e-001  2.692e-001   90.330
2.679    2.346    -1.762e-003  2.717e-001  2.717e-001   90.372
2.655    2.366    -1.985e-003  2.742e-001  2.742e-001   90.415
2.632    2.387    -2.221e-003  2.767e-001  2.767e-001   90.460
2.610    2.408    -2.469e-003  2.792e-001  2.792e-001   90.507
2.588    2.428    -2.730e-003  2.817e-001  2.817e-001   90.555
2.566    2.449    -3.005e-003  2.842e-001  2.842e-001   90.606
2.544    2.469    -3.294e-003  2.867e-001  2.868e-001   90.658
2.523    2.490    -3.598e-003  2.893e-001  2.893e-001   90.713
2.503    2.511    -3.918e-003  2.918e-001  2.918e-001   90.769
2.482    2.531    -4.253e-003  2.943e-001  2.943e-001   90.828
2.462    2.552    -4.604e-003  2.968e-001  2.969e-001   90.889
2.443    2.572    -4.973e-003  2.994e-001  2.994e-001   90.952
2.423    2.593    -5.359e-003  3.019e-001  3.019e-001   91.017
2.404    2.614    -5.763e-003  3.044e-001  3.045e-001   91.085
2.385    2.634    -6.187e-003  3.069e-001  3.070e-001   91.155
2.367    2.655    -6.629e-003  3.094e-001  3.095e-001   91.227
2.349    2.675    -7.091e-003  3.120e-001  3.120e-001   91.302
2.331    2.696    -7.575e-003  3.145e-001  3.146e-001   91.380
2.313    2.717    -8.079e-003  3.170e-001  3.171e-001   91.460
2.295    2.737    -8.605e-003  3.195e-001  3.196e-001   91.543
2.278    2.758    -9.154e-003  3.220e-001  3.221e-001   91.628
2.261    2.778    -9.726e-003  3.245e-001  3.246e-001   91.717
2.245    2.799    -1.032e-002  3.270e-001  3.271e-001   91.808
2.228    2.820    -1.094e-002  3.295e-001  3.296e-001   91.902
2.212    2.840    -1.159e-002  3.319e-001  3.321e-001   91.999
2.196    2.861    -1.226e-002  3.344e-001  3.346e-001   92.099
2.181    2.881    -1.295e-002  3.369e-001  3.371e-001   92.202
2.165    2.902    -1.367e-002  3.393e-001  3.396e-001   92.308
2.150    2.923    -1.442e-002  3.418e-001  3.421e-001   92.417
2.135    2.943    -1.520e-002  3.442e-001  3.445e-001   92.529
2.120    2.964    -1.601e-002  3.466e-001  3.469e-001   92.644
2.105    2.984    -1.684e-002  3.490e-001  3.494e-001   92.763
2.091    3.005    -1.770e-002  3.513e-001  3.518e-001   92.884
2.077    3.026    -1.859e-002  3.537e-001  3.542e-001   93.009
2.063    3.046    -1.951e-002  3.560e-001  3.566e-001   93.136
2.049    3.067    -2.046e-002  3.583e-001  3.589e-001   93.267
2.035    3.087    -2.143e-002  3.606e-001  3.613e-001   93.401
2.022    3.108    -2.244e-002  3.629e-001  3.636e-001   93.538
2.008    3.129    -2.347e-002  3.651e-001  3.659e-001   93.678
1.995    3.149    -2.454e-002  3.673e-001  3.681e-001   93.821
1.982    3.170    -2.563e-002  3.695e-001  3.704e-001   93.967
1.969    3.190    -2.674e-002  3.716e-001  3.726e-001   94.116
1.957    3.211    -2.789e-002  3.737e-001  3.748e-001   94.267
1.944    3.232    -2.906e-002  3.758e-001  3.769e-001   94.421
1.932    3.252    -3.025e-002  3.778e-001  3.790e-001   94.578
1.920    3.273    -3.147e-002  3.798e-001  3.811e-001   94.736
1.908    3.293    -3.271e-002  3.817e-001  3.831e-001   94.897
1.896    3.314    -3.397e-002  3.836e-001  3.851e-001   95.060
1.884    3.335    -3.525e-002  3.855e-001  3.871e-001   95.224
1.873    3.355    -3.654e-002  3.873e-001  3.890e-001   95.390
1.861    3.376    -3.785e-002  3.890e-001  3.908e-001   95.558
1.850    3.396    -3.917e-002  3.907e-001  3.926e-001   95.726
1.839    3.417    -4.050e-002  3.923e-001  3.944e-001   95.895
1.828    3.438    -4.184e-002  3.939e-001  3.961e-001   96.064
1.817    3.458    -4.318e-002  3.954e-001  3.977e-001   96.233
1.806    3.479    -4.452e-002  3.968e-001  3.993e-001   96.401
1.795    3.499    -4.585e-002  3.982e-001  4.008e-001   96.569
1.785    3.520    -4.718e-002  3.995e-001  4.023e-001   96.736
1.775    3.541    -4.850e-002  4.007e-001  4.037e-001   96.900
1.764    3.561    -4.980e-002  4.019e-001  4.050e-001   97.063
1.754    3.582    -5.107e-002  4.030e-001  4.062e-001   97.222
1.744    3.603    -5.233e-002  4.041e-001  4.074e-001   97.379
1.734    3.623    -5.355e-002  4.050e-001  4.086e-001   97.531
1.724    3.644    -5.473e-002  4.059e-001  4.096e-001   97.679
1.715    3.664    -5.588e-002  4.068e-001  4.106e-001   97.822
1.705    3.685    -5.698e-002  4.075e-001  4.115e-001   97.959
1.696    3.706    -5.803e-002  4.083e-001  4.124e-001   98.090
1.686    3.726    -5.903e-002  4.089e-001  4.132e-001   98.214
1.677    3.747    -5.996e-002  4.095e-001  4.139e-001   98.330
1.668    3.767    -6.083e-002  4.101e-001  4.145e-001   98.438
1.659    3.788    -6.163e-002  4.105e-001  4.151e-001   98.537
1.650    3.809    -6.235e-002  4.110e-001  4.157e-001   98.626
1.641    3.829    -6.299e-002  4.114e-001  4.162e-001   98.706
1.632    3.850    -6.355e-002  4.118e-001  4.166e-001   98.774
1.623    3.870    -6.402e-002  4.121e-001  4.170e-001   98.831
1.615    3.891    -6.441e-002  4.124e-001  4.174e-001   98.876
1.606    3.912    -6.469e-002  4.127e-001  4.177e-001   98.909
1.598    3.932    -6.488e-002  4.130e-001  4.181e-001   98.928
1.590    3.953    -6.497e-002  4.133e-001  4.183e-001   98.935
1.581    3.973    -6.496e-002  4.136e-001  4.186e-001   98.928
1.573    3.994    -6.485e-002  4.138e-001  4.189e-001   98.906
1.565    4.015    -6.464e-002  4.142e-001  4.192e-001   98.871
1.557    4.035    -6.433e-002  4.145e-001  4.195e-001   98.822
1.549    4.056    -6.392e-002  4.149e-001  4.198e-001   98.758
1.541    4.076    -6.340e-002  4.153e-001  4.201e-001   98.680
1.534    4.097    -6.278e-002  4.158e-001  4.205e-001   98.587
1.526    4.118    -6.207e-002  4.163e-001  4.209e-001   98.480
1.518    4.138    -6.126e-002  4.169e-001  4.214e-001   98.358
1.511    4.159    -6.036e-002  4.176e-001  4.220e-001   98.224
1.503    4.179    -5.938e-002  4.184e-001  4.226e-001   98.078
1.496    4.200    -5.833e-002  4.192e-001  4.233e-001   97.922
--------------------------------------------------------------
WAVE ANGLE = 30.00
PERIOD   FREQ                           P5   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
--------------------------------------------------------------
62.832   0.100     3.661e-005 -1.955e-002  1.955e-002  -89.893
52.098   0.121     5.428e-005 -2.358e-002  2.358e-002  -89.868
44.497   0.141     7.428e-005 -2.761e-002  2.761e-002  -89.846
38.831   0.162     9.688e-005 -3.164e-002  3.164e-002  -89.825
34.445   0.182     1.224e-004 -3.567e-002  3.567e-002  -89.803
30.949   0.203     1.511e-004 -3.970e-002  3.970e-002  -89.782
28.098   0.224     1.831e-004 -4.373e-002  4.373e-002  -89.760
25.727   0.244     2.185e-004 -4.776e-002  4.776e-002  -89.738
23.726   0.265     2.571e-004 -5.179e-002  5.179e-002  -89.716
22.013   0.285     2.990e-004 -5.582e-002  5.582e-002  -89.693
20.531   0.306     3.440e-004 -5.985e-002  5.985e-002  -89.671
19.236   0.327     3.921e-004 -6.388e-002  6.389e-002  -89.648
18.095   0.347     4.432e-004 -6.792e-002  6.792e-002  -89.626
17.081   0.368     4.976e-004 -7.195e-002  7.195e-002  -89.604
16.175   0.388     5.551e-004 -7.599e-002  7.599e-002  -89.581
15.361   0.409     6.158e-004 -8.002e-002  8.002e-002  -89.559
14.624   0.430     6.797e-004 -8.406e-002  8.406e-002  -89.537
13.955   0.450     7.469e-004 -8.809e-002  8.810e-002  -89.514
13.344   0.471     8.173e-004 -9.213e-002  9.213e-002  -89.492
12.785   0.491     8.909e-004 -9.617e-002  9.617e-002  -89.469
12.270   0.512     9.677e-004 -1.002e-001  1.002e-001  -89.447
11.796   0.533     1.048e-003 -1.042e-001  1.043e-001  -89.424
11.357   0.553     1.131e-003 -1.083e-001  1.083e-001  -89.402
10.949   0.574     1.218e-003 -1.123e-001  1.123e-001  -89.379
10.569   0.594     1.308e-003 -1.164e-001  1.164e-001  -89.356
10.215   0.615     1.401e-003 -1.204e-001  1.204e-001  -89.333
9.884    0.636     1.497e-003 -1.245e-001  1.245e-001  -89.311
9.574    0.656     1.597e-003 -1.285e-001  1.285e-001  -89.288
9.283    0.677     1.700e-003 -1.326e-001  1.326e-001  -89.265
9.008    0.697     1.807e-003 -1.366e-001  1.366e-001  -89.242
8.750    0.718     1.917e-003 -1.407e-001  1.407e-001  -89.219
8.506    0.739     2.030e-003 -1.447e-001  1.447e-001  -89.196
8.275    0.759     2.147e-003 -1.488e-001  1.488e-001  -89.173
8.056    0.780     2.267e-003 -1.528e-001  1.528e-001  -89.150
7.849    0.801     2.390e-003 -1.569e-001  1.569e-001  -89.127
7.652    0.821     2.517e-003 -1.609e-001  1.609e-001  -89.104
7.465    0.842     2.648e-003 -1.650e-001  1.650e-001  -89.081
7.286    0.862     2.782e-003 -1.690e-001  1.691e-001  -89.057
7.116    0.883     2.919e-003 -1.731e-001  1.731e-001  -89.034
6.954    0.904     3.060e-003 -1.772e-001  1.772e-001  -89.010
6.799    0.924     3.205e-003 -1.812e-001  1.813e-001  -88.987
6.651    0.945     3.353e-003 -1.853e-001  1.853e-001  -88.963
6.509    0.965     3.504e-003 -1.894e-001  1.894e-001  -88.940
6.373    0.986     3.660e-003 -1.934e-001  1.935e-001  -88.916
6.242    1.007     3.818e-003 -1.975e-001  1.975e-001  -88.892
6.117    1.027     3.981e-003 -2.016e-001  2.016e-001  -88.869
5.997    1.048     4.147e-003 -2.056e-001  2.057e-001  -88.845
5.881    1.068     4.317e-003 -2.097e-001  2.098e-001  -88.821
5.770    1.089     4.491e-003 -2.138e-001  2.139e-001  -88.797
5.663    1.110     4.668e-003 -2.179e-001  2.179e-001  -88.773
5.560    1.130     4.849e-003 -2.220e-001  2.220e-001  -88.749
5.460    1.151     5.034e-003 -2.261e-001  2.261e-001  -88.724
5.364    1.171     5.223e-003 -2.301e-001  2.302e-001  -88.700
5.271    1.192     5.415e-003 -2.342e-001  2.343e-001  -88.676
5.182    1.213     5.612e-003 -2.383e-001  2.384e-001  -88.651
5.095    1.233     5.812e-003 -2.424e-001  2.425e-001  -88.627
5.011    1.254     6.017e-003 -2.465e-001  2.466e-001  -88.602
4.930    1.274     6.225e-003 -2.506e-001  2.507e-001  -88.577
4.852    1.295     6.437e-003 -2.547e-001  2.548e-001  -88.552
4.776    1.316     6.653e-003 -2.588e-001  2.589e-001  -88.527
4.702    1.336     6.874e-003 -2.629e-001  2.630e-001  -88.502
4.631    1.357     7.098e-003 -2.670e-001  2.671e-001  -88.477
4.562    1.377     7.326e-003 -2.711e-001  2.712e-001  -88.452
4.494    1.398     7.559e-003 -2.753e-001  2.754e-001  -88.427
4.429    1.419     7.796e-003 -2.794e-001  2.795e-001  -88.402
4.366    1.439     8.037e-003 -2.835e-001  2.836e-001  -88.376
4.304    1.460     8.282e-003 -2.876e-001  2.877e-001  -88.351
4.244    1.480     8.531e-003 -2.917e-001  2.919e-001  -88.325
4.186    1.501     8.785e-003 -2.959e-001  2.960e-001  -88.299
4.129    1.522     9.043e-003 -3.000e-001  3.001e-001  -88.273
4.074    1.542     9.306e-003 -3.041e-001  3.043e-001  -88.247
4.020    1.563     9.573e-003 -3.083e-001  3.084e-001  -88.221
3.968    1.583     9.844e-003 -3.124e-001  3.126e-001  -88.195
3.917    1.604     1.012e-002 -3.166e-001  3.167e-001  -88.169
3.867    1.625     1.040e-002 -3.207e-001  3.209e-001  -88.143
3.819    1.645     1.069e-002 -3.249e-001  3.250e-001  -88.116
3.772    1.666     1.097e-002 -3.290e-001  3.292e-001  -88.090
3.726    1.686     1.127e-002 -3.332e-001  3.334e-001  -88.063
3.681    1.707     1.157e-002 -3.373e-001  3.375e-001  -88.036
3.637    1.728     1.187e-002 -3.415e-001  3.417e-001  -88.009
3.594    1.748     1.218e-002 -3.457e-001  3.459e-001  -87.982
3.552    1.769     1.249e-002 -3.498e-001  3.501e-001  -87.955
3.511    1.789     1.281e-002 -3.540e-001  3.543e-001  -87.928
3.471    1.810     1.313e-002 -3.582e-001  3.584e-001  -87.900
3.432    1.831     1.346e-002 -3.624e-001  3.626e-001  -87.873
3.394    1.851     1.379e-002 -3.666e-001  3.668e-001  -87.845
3.357    1.872     1.413e-002 -3.708e-001  3.710e-001  -87.817
3.320    1.892     1.447e-002 -3.750e-001  3.753e-001  -87.789
3.284    1.913     1.482e-002 -3.792e-001  3.795e-001  -87.761
3.249    1.934     1.518e-002 -3.834e-001  3.837e-001  -87.733
3.215    1.954     1.553e-002 -3.876e-001  3.879e-001  -87.705
3.182    1.975     1.590e-002 -3.918e-001  3.921e-001  -87.676
3.149    1.995     1.627e-002 -3.960e-001  3.964e-001  -87.648
3.117    2.016     1.664e-002 -4.003e-001  4.006e-001  -87.619
3.085    2.037     1.702e-002 -4.045e-001  4.048e-001  -87.590
3.054    2.057     1.741e-002 -4.087e-001  4.091e-001  -87.561
3.024    2.078     1.780e-002 -4.130e-001  4.133e-001  -87.532
2.994    2.098     1.819e-002 -4.172e-001  4.176e-001  -87.503
2.965    2.119     1.860e-002 -4.215e-001  4.219e-001  -87.473
2.936    2.140     1.900e-002 -4.257e-001  4.261e-001  -87.444
2.908    2.160     1.942e-002 -4.300e-001  4.304e-001  -87.414
2.881    2.181     1.984e-002 -4.342e-001  4.347e-001  -87.384
2.854    2.202     2.026e-002 -4.385e-001  4.390e-001  -87.354
2.828    2.222     2.069e-002 -4.428e-001  4.432e-001  -87.324
2.802    2.243     2.113e-002 -4.470e-001  4.475e-001  -87.294
2.776    2.263     2.157e-002 -4.513e-001  4.518e-001  -87.264
2.751    2.284     2.201e-002 -4.556e-001  4.561e-001  -87.234
2.726    2.305     2.246e-002 -4.599e-001  4.604e-001  -87.204
2.702    2.325     2.291e-002 -4.642e-001  4.647e-001  -87.174
2.679    2.346     2.336e-002 -4.684e-001  4.690e-001  -87.145
2.655    2.366     2.381e-002 -4.727e-001  4.733e-001  -87.116
2.632    2.387     2.426e-002 -4.770e-001  4.776e-001  -87.088
2.610    2.408     2.470e-002 -4.813e-001  4.819e-001  -87.062
2.588    2.428     2.513e-002 -4.855e-001  4.862e-001  -87.037
2.566    2.449     2.554e-002 -4.898e-001  4.905e-001  -87.016
2.544    2.469     2.593e-002 -4.941e-001  4.948e-001  -86.996
2.523    2.490     2.633e-002 -4.985e-001  4.992e-001  -86.976
2.503    2.511     2.675e-002 -5.029e-001  5.036e-001  -86.955
2.482    2.531     2.718e-002 -5.073e-001  5.080e-001  -86.933
2.462    2.552     2.758e-002 -5.117e-001  5.124e-001  -86.914
2.443    2.572     2.794e-002 -5.161e-001  5.169e-001  -86.902
2.423    2.593     2.824e-002 -5.206e-001  5.213e-001  -86.895
2.404    2.614     2.856e-002 -5.251e-001  5.259e-001  -86.886
2.385    2.634     2.896e-002 -5.297e-001  5.305e-001  -86.870
2.367    2.655     2.941e-002 -5.342e-001  5.350e-001  -86.849
2.349    2.675     2.989e-002 -5.388e-001  5.396e-001  -86.824
2.331    2.696     3.039e-002 -5.433e-001  5.441e-001  -86.798
2.313    2.717     3.092e-002 -5.478e-001  5.487e-001  -86.769
2.295    2.737     3.148e-002 -5.524e-001  5.533e-001  -86.739
2.278    2.758     3.197e-002 -5.571e-001  5.580e-001  -86.715
2.261    2.778     3.241e-002 -5.617e-001  5.626e-001  -86.697
2.245    2.799     3.287e-002 -5.663e-001  5.672e-001  -86.678
2.228    2.820     3.336e-002 -5.709e-001  5.719e-001  -86.656
2.212    2.840     3.385e-002 -5.755e-001  5.765e-001  -86.634
2.196    2.861     3.436e-002 -5.802e-001  5.812e-001  -86.610
2.181    2.881     3.491e-002 -5.849e-001  5.859e-001  -86.584
2.165    2.902     3.571e-002 -5.896e-001  5.907e-001  -86.534
2.150    2.923     3.620e-002 -5.937e-001  5.948e-001  -86.511
2.135    2.943     3.645e-002 -5.985e-001  5.996e-001  -86.515
2.120    2.964     3.692e-002 -6.033e-001  6.044e-001  -86.498
2.105    2.984     3.743e-002 -6.081e-001  6.093e-001  -86.478
2.091    3.005     3.792e-002 -6.129e-001  6.141e-001  -86.460
2.077    3.026     3.839e-002 -6.178e-001  6.190e-001  -86.444
2.063    3.046     3.886e-002 -6.226e-001  6.238e-001  -86.428
2.049    3.067     3.933e-002 -6.274e-001  6.287e-001  -86.414
2.035    3.087     3.979e-002 -6.323e-001  6.336e-001  -86.399
2.022    3.108     4.025e-002 -6.372e-001  6.385e-001  -86.385
2.008    3.129     4.071e-002 -6.422e-001  6.434e-001  -86.372
1.995    3.149     4.117e-002 -6.471e-001  6.484e-001  -86.359
1.982    3.170     4.163e-002 -6.521e-001  6.534e-001  -86.347
1.969    3.190     4.208e-002 -6.571e-001  6.585e-001  -86.336
1.957    3.211     4.252e-002 -6.622e-001  6.635e-001  -86.326
1.944    3.232     4.296e-002 -6.673e-001  6.687e-001  -86.316
1.932    3.252     4.340e-002 -6.724e-001  6.738e-001  -86.307
1.920    3.273     4.383e-002 -6.776e-001  6.790e-001  -86.299
1.908    3.293     4.426e-002 -6.828e-001  6.842e-001  -86.291
1.896    3.314     4.469e-002 -6.880e-001  6.895e-001  -86.284
1.884    3.335     4.511e-002 -6.933e-001  6.948e-001  -86.277
1.873    3.355     4.553e-002 -6.987e-001  7.001e-001  -86.271
1.861    3.376     4.595e-002 -7.041e-001  7.056e-001  -86.266
1.850    3.396     4.637e-002 -7.095e-001  7.110e-001  -86.260
1.839    3.417     4.680e-002 -7.150e-001  7.165e-001  -86.255
1.828    3.438     4.722e-002 -7.205e-001  7.221e-001  -86.250
1.817    3.458     4.765e-002 -7.262e-001  7.277e-001  -86.245
1.806    3.479     4.809e-002 -7.318e-001  7.334e-001  -86.240
1.795    3.499     4.853e-002 -7.375e-001  7.391e-001  -86.235
1.785    3.520     4.898e-002 -7.433e-001  7.450e-001  -86.230
1.775    3.541     4.945e-002 -7.492e-001  7.508e-001  -86.224
1.764    3.561     4.993e-002 -7.551e-001  7.568e-001  -86.217
1.754    3.582     5.042e-002 -7.611e-001  7.628e-001  -86.210
1.744    3.603     5.094e-002 -7.672e-001  7.689e-001  -86.201
1.734    3.623     5.147e-002 -7.733e-001  7.750e-001  -86.192
1.724    3.644     5.203e-002 -7.795e-001  7.812e-001  -86.181
1.715    3.664     5.262e-002 -7.858e-001  7.876e-001  -86.169
1.705    3.685     5.323e-002 -7.922e-001  7.939e-001  -86.155
1.696    3.706     5.389e-002 -7.986e-001  8.004e-001  -86.140
1.686    3.726     5.457e-002 -8.051e-001  8.070e-001  -86.122
1.677    3.747     5.530e-002 -8.117e-001  8.136e-001  -86.102
1.668    3.767     5.607e-002 -8.184e-001  8.203e-001  -86.080
1.659    3.788     5.689e-002 -8.252e-001  8.271e-001  -86.056
1.650    3.809     5.776e-002 -8.320e-001  8.340e-001  -86.029
1.641    3.829     5.869e-002 -8.390e-001  8.410e-001  -85.998
1.632    3.850     5.968e-002 -8.460e-001  8.481e-001  -85.965
1.623    3.870     6.072e-002 -8.531e-001  8.553e-001  -85.929
1.615    3.891     6.184e-002 -8.603e-001  8.625e-001  -85.889
1.606    3.912     6.302e-002 -8.676e-001  8.699e-001  -85.846
1.598    3.932     6.428e-002 -8.750e-001  8.774e-001  -85.798
1.590    3.953     6.562e-002 -8.825e-001  8.849e-001  -85.747
1.581    3.973     6.705e-002 -8.901e-001  8.926e-001  -85.692
1.573    3.994     6.856e-002 -8.978e-001  9.004e-001  -85.633
1.565    4.015     7.016e-002 -9.056e-001  9.083e-001  -85.570
1.557    4.035     7.187e-002 -9.135e-001  9.163e-001  -85.501
1.549    4.056     7.369e-002 -9.215e-001  9.245e-001  -85.428
1.541    4.076     7.561e-002 -9.296e-001  9.327e-001  -85.350
1.534    4.097     7.766e-002 -9.379e-001  9.411e-001  -85.266
1.526    4.118     7.984e-002 -9.462e-001  9.496e-001  -85.177
1.518    4.138     8.216e-002 -9.547e-001  9.582e-001  -85.081
1.511    4.159     8.462e-002 -9.633e-001  9.670e-001  -84.980
1.503    4.179     8.724e-002 -9.721e-001  9.760e-001  -84.872
1.496    4.200     9.002e-002 -9.810e-001  9.852e-001  -84.757
--------------------------------------------------------------
WAVE ANGLE = 30.00
PERIOD   FREQ                           P6   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
--------------------------------------------------------------
62.832   0.100    -9.060e-004 -9.303e-003  9.347e-003  -95.563
52.098   0.121    -9.560e-004 -1.203e-002  1.207e-002  -94.543
44.497   0.141    -9.500e-004 -1.336e-002  1.339e-002  -94.069
38.831   0.162    -9.310e-004 -1.438e-002  1.441e-002  -93.705
34.445   0.182    -9.139e-004 -1.548e-002  1.550e-002  -93.379
30.949   0.203    -9.036e-004 -1.678e-002  1.680e-002  -93.083
28.098   0.224    -9.004e-004 -1.827e-002  1.829e-002  -92.821
25.727   0.244    -9.008e-004 -1.987e-002  1.989e-002  -92.595
23.726   0.265    -9.026e-004 -2.152e-002  2.154e-002  -92.401
22.013   0.285    -9.045e-004 -2.318e-002  2.320e-002  -92.234
20.531   0.306    -9.059e-004 -2.484e-002  2.485e-002  -92.089
19.236   0.327    -9.065e-004 -2.648e-002  2.649e-002  -91.961
18.095   0.347    -9.068e-004 -2.812e-002  2.813e-002  -91.847
17.081   0.368    -9.069e-004 -2.976e-002  2.977e-002  -91.746
16.175   0.388    -9.071e-004 -3.140e-002  3.142e-002  -91.654
15.361   0.409    -9.073e-004 -3.306e-002  3.307e-002  -91.572
14.624   0.430    -9.077e-004 -3.472e-002  3.473e-002  -91.497
13.955   0.450    -9.081e-004 -3.639e-002  3.640e-002  -91.429
13.344   0.471    -9.086e-004 -3.807e-002  3.808e-002  -91.367
12.785   0.491    -9.092e-004 -3.976e-002  3.977e-002  -91.310
12.270   0.512    -9.097e-004 -4.145e-002  4.146e-002  -91.257
11.796   0.533    -9.102e-004 -4.315e-002  4.315e-002  -91.209
11.357   0.553    -9.108e-004 -4.485e-002  4.486e-002  -91.163
10.949   0.574    -9.113e-004 -4.656e-002  4.657e-002  -91.121
10.569   0.594    -9.119e-004 -4.828e-002  4.829e-002  -91.082
10.215   0.615    -9.125e-004 -5.000e-002  5.001e-002  -91.046
9.884    0.636    -9.132e-004 -5.174e-002  5.174e-002  -91.011
9.574    0.656    -9.139e-004 -5.348e-002  5.348e-002  -90.979
9.283    0.677    -9.145e-004 -5.523e-002  5.523e-002  -90.949
9.008    0.697    -9.153e-004 -5.698e-002  5.699e-002  -90.920
8.750    0.718    -9.160e-004 -5.875e-002  5.875e-002  -90.893
8.506    0.739    -9.168e-004 -6.052e-002  6.053e-002  -90.868
8.275    0.759    -9.175e-004 -6.231e-002  6.231e-002  -90.844
8.056    0.780    -9.184e-004 -6.410e-002  6.410e-002  -90.821
7.849    0.801    -9.192e-004 -6.590e-002  6.591e-002  -90.799
7.652    0.821    -9.201e-004 -6.771e-002  6.772e-002  -90.778
7.465    0.842    -9.209e-004 -6.953e-002  6.954e-002  -90.759
7.286    0.862    -9.218e-004 -7.137e-002  7.137e-002  -90.740
7.116    0.883    -9.228e-004 -7.321e-002  7.322e-002  -90.722
6.954    0.904    -9.237e-004 -7.507e-002  7.507e-002  -90.705
6.799    0.924    -9.247e-004 -7.693e-002  7.694e-002  -90.689
6.651    0.945    -9.258e-004 -7.881e-002  7.881e-002  -90.673
6.509    0.965    -9.268e-004 -8.070e-002  8.070e-002  -90.658
6.373    0.986    -9.279e-004 -8.260e-002  8.260e-002  -90.644
6.242    1.007    -9.290e-004 -8.451e-002  8.452e-002  -90.630
6.117    1.027    -9.301e-004 -8.644e-002  8.645e-002  -90.616
5.997    1.048    -9.313e-004 -8.838e-002  8.839e-002  -90.604
